"","station_id","line_name","station"
"1","101","1","""Van Cortlandt Park - 242 St"""
"2","103","1","""238 St"""
"3","104","1","""231 St"""
"4","106","1","""Marble Hill - 225 St"""
"5","107","1","""215 St"""
"6","108","1","""207 St"""
"7","109","1","""Dyckman St"""
"8","110","1","""191 St"""
"9","111","1","""181 St"""
"10","112","1AC","""168 St - Washington Hts"""
"11","113","1","""157 St"""
"12","114","1","""145 St"""
"13","115","1","""137 St - City College"""
"14","116","1","""125 St"""
"15","117","1","""116 St - Columbia University"""
"16","118","1","""Cathedral Pkwy"""
"17","119","1","""103 St"""
"18","120","123","""96 St"""
"19","121","1","""86 St"""
"20","122","1","""79 St"""
"21","123","123","""72 St"""
"22","124","1","""66 St - Lincoln Center"""
"23","125","1ABCD","""59 St - Columbus Circle"""
"24","126","1","""50 St"""
"25","127","1237ACEGNQRS","""Times Sq - 42 St"""
"26","128","123","""34 St - Penn Station"""
"27","129","1","""28 St"""
"28","130","1","""23 St"""
"29","131","1","""18 St"""
"30","132","123FLM","""14 St"""
"31","133","1","""Christopher St - Sheridan Sq"""
"32","134","1","""Houston St"""
"33","135","1","""Canal St"""
"34","136","1","""Franklin St"""
"35","137","123","""Chambers St"""
"36","138","1","""Cortlandt St"""
"37","139","1","""Rector St"""
"38","140","1NR","""South Ferry Loop"""
"39","201","2","""Wakefield - 241 St"""
"40","204","25","""Nereid Av"""
"41","205","25","""233 St"""
"42","206","25","""225 St"""
"43","207","25","""219 St"""
"44","208","25","""Gun Hill Rd"""
"45","209","25","""Burke Av"""
"46","210","25","""Allerton Av"""
"47","211","25","""Pelham Pkwy"""
"48","212","25","""Bronx Park East"""
"49","213","25","""E 180 St"""
"50","214","2","""West Farms Sq - E Tremont Av"""
"51","215","2","""174 St"""
"52","216","2","""Freeman St"""
"53","217","2","""Simpson St"""
"54","218","2","""Intervale Av"""
"55","219","2","""Prospect Av"""
"56","220","2","""Jackson Av"""
"57","221","25","""3 Av - 149 St"""
"58","222","245","""149 St - Grand Concourse"""
"59","224","23","""135 St"""
"60","225","23","""125 St"""
"61","226","23","""116 St"""
"62","227","23","""Central Park North (110 St)"""
"63","228","23ACE","""Park Pl"""
"64","229","2345ACJZ","""Fulton St"""
"65","230","23","""Wall St"""
"66","231","23","""Clark St"""
"67","232","2345NR","""Borough Hall"""
"68","233","23","""Hoyt St"""
"69","234","2345","""Nevins St"""
"70","235","2345BDNQR","""Atlantic Av - Barclays Ctr"""
"71","236","234","""Bergen St"""
"72","237","234","""Grand Army Plaza"""
"73","238","234","""Eastern Pkwy - Brooklyn Museum"""
"74","239","2345FS","""Franklin Av"""
"75","248","34","""Nostrand Av"""
"76","249","34","""Kingston Av"""
"77","250","345","""Crown Hts - Utica Av"""
"78","251","34","""Sutter Av - Rutland Rd"""
"79","252","34","""Saratoga Av"""
"80","253","34","""Rockaway Av"""
"81","254","34L","""Junius St"""
"82","255","34","""Pennsylvania Av"""
"83","256","34","""Van Siclen Av"""
"84","257","34","""New Lots Av"""
"85","301","3","""Harlem - 148 St"""
"86","302","3","""145 St"""
"87","401","4","""Woodlawn"""
"88","402","4","""Mosholu Pkwy"""
"89","405","4","""Bedford Park Blvd - Lehman College"""
"90","406","4","""Kingsbridge Rd"""
"91","407","4","""Fordham Rd"""
"92","408","4","""183 St"""
"93","409","4","""Burnside Av"""
"94","410","4","""176 St"""
"95","411","4","""Mt Eden Av"""
"96","412","4","""170 St"""
"97","413","4","""167 St"""
"98","414","4BD","""161 St - Yankee Stadium"""
"99","416","45","""138 St - Grand Concourse"""
"100","419","45","""Wall St"""
"101","420","45","""Bowling Green"""
"102","501","5","""Eastchester - Dyre Av"""
"103","502","5","""Baychester Av"""
"104","503","5","""Gun Hill Rd"""
"105","504","5","""Pelham Pkwy"""
"106","505","5","""Morris Park"""
"107","601","6","""Pelham Bay Park"""
"108","602","6","""Buhre Av"""
"109","603","6","""Middletown Rd"""
"110","604","6","""Westchester Sq - E Tremont Av"""
"111","606","6","""Zerega Av"""
"112","607","6","""Castle Hill Av"""
"113","608","6","""Parkchester"""
"114","609","6","""St Lawrence Av"""
"115","610","6","""Morrison Av- Sound View"""
"116","611","6","""Elder Av"""
"117","612","6","""Whitlock Av"""
"118","613","6","""Hunts Point Av"""
"119","614","6","""Longwood Av"""
"120","615","6","""E 149 St"""
"121","616","6","""E 143 St - St Mary's St"""
"122","617","6","""Cypress Av"""
"123","618","6","""Brook Av"""
"124","619","6","""3 Av - 138 St"""
"125","621","456","""125 St"""
"126","622","6","""116 St"""
"127","623","6","""110 St"""
"128","624","6","""103 St"""
"129","625","6","""96 St"""
"130","626","456","""86 St"""
"131","627","6","""77 St"""
"132","628","6","""68 St - Hunter College"""
"133","629","456FNR","""59 St"""
"134","630","6EM","""51 St"""
"135","631","4567GS","""Grand Central - 42 St"""
"136","632","6","""33 St"""
"137","633","6","""28 St"""
"138","634","6","""23 St"""
"139","635","456LNQR","""14 St - Union Sq"""
"140","636","6","""Astor Pl"""
"141","637","6BDFM","""Bleecker St"""
"142","638","6","""Spring St"""
"143","639","6JNQRZ","""Canal St"""
"144","640","456JZ","""Brooklyn Bridge - City Hall"""
"145","701","7","""Flushing - Main St"""
"146","702","7","""Mets - Willets Point"""
"147","705","7","""111 St"""
"148","706","7","""103 St - Corona Plaza"""
"149","707","7","""Junction Blvd"""
"150","708","7","""90 St - Elmhurst Av"""
"151","709","7","""82 St - Jackson Hts"""
"152","710","7EFMR","""74 St - Broadway"""
"153","711","7","""69 St"""
"154","712","7","""Woodside - 61 St"""
"155","713","7","""52 St"""
"156","714","7","""46 St"""
"157","715","7","""40 St"""
"158","716","7","""33 St"""
